date,company,open,high,low,close,volume
2015-01-27,Infrastructure Development Bank Ltd.,191,186,187,191,9529
2015-01-29,Infrastructure Development Bank Ltd.,212,199,196,198,14791
2015-02-08,Infrastructure Development Bank Ltd.,201,199,199,200,6925
2015-02-01,Infrastructure Development Bank Ltd.,205,198,197,205,14693
2015-02-02,Infrastructure Development Bank Ltd.,209,205,201,204,10838
2015-02-04,Infrastructure Development Bank Ltd.,201,200,197,199,9887
2015-02-05,Infrastructure Development Bank Ltd.,205,199,196,199,17393
2015-02-03,Infrastructure Development Bank Ltd.,201,204,192,200,6203
2015-02-18,Infrastructure Development Bank Ltd.,188,191,182,188,2701
2015-02-11,Infrastructure Development Bank Ltd.,193,195,187,187,8974
2015-02-12,Infrastructure Development Bank Ltd.,200,187,188,193,8525
2015-02-22,Infrastructure Development Bank Ltd.,191,188,180,182,4346
2015-02-09,Infrastructure Development Bank Ltd.,200,200,196,199,4241
2015-02-10,Infrastructure Development Bank Ltd.,199,199,195,195,7489
2015-02-15,Infrastructure Development Bank Ltd.,196,193,190,193,3702
2015-02-16,Infrastructure Development Bank Ltd.,198,193,191,191,5747
2015-03-01,Infrastructure Development Bank Ltd.,193,196,189,190,2304
2015-02-25,Infrastructure Development Bank Ltd.,184,184,180,183,5150
2015-02-26,Infrastructure Development Bank Ltd.,196,183,180,196,4683
2015-02-23,Infrastructure Development Bank Ltd.,186,182,176,186,2121
2015-02-24,Infrastructure Development Bank Ltd.,185,186,180,184,2139
2015-03-09,Infrastructure Development Bank Ltd.,208,200,197,200,10729
2015-03-03,Infrastructure Development Bank Ltd.,201,196,195,201,13662
2015-03-02,Infrastructure Development Bank Ltd.,196,190,190,196,9989
2015-03-04,Infrastructure Development Bank Ltd.,204,201,198,200,8178
2015-03-10,Infrastructure Development Bank Ltd.,200,200,197,200,8050
2015-03-16,Infrastructure Development Bank Ltd.,191,192,187,188,2313
2015-03-11,Infrastructure Development Bank Ltd.,199,200,193,199,5428
2015-03-12,Infrastructure Development Bank Ltd.,199,199,194,195,730
2015-03-17,Infrastructure Development Bank Ltd.,193,188,190,190,2962
2015-03-18,Infrastructure Development Bank Ltd.,190,190,184,190,2454
2015-03-15,Infrastructure Development Bank Ltd.,197,195,192,192,424
2015-03-23,Infrastructure Development Bank Ltd.,183,183,177,180,3915
2015-03-19,Infrastructure Development Bank Ltd.,194,190,190,194,1840
2015-03-22,Infrastructure Development Bank Ltd.,191,194,183,183,501
2015-03-24,Infrastructure Development Bank Ltd.,180,180,175,180,1036
2015-03-30,Infrastructure Development Bank Ltd.,188,191,179,182,2937
2015-03-25,Infrastructure Development Bank Ltd.,181,180,179,181,934
2015-03-29,Infrastructure Development Bank Ltd.,191,180,178,191,2587
2015-03-26,Infrastructure Development Bank Ltd.,180,181,177,180,4594
2015-04-02,Infrastructure Development Bank Ltd.,180,181,178,180,1244
2015-03-31,Infrastructure Development Bank Ltd.,185,182,179,185,698
2015-04-09,Infrastructure Development Bank Ltd.,184,181,181,183,3236
2015-04-01,Infrastructure Development Bank Ltd.,182,185,179,181,1842
2015-04-05,Infrastructure Development Bank Ltd.,180,180,177,180,380
2015-04-06,Infrastructure Development Bank Ltd.,183,180,175,182,2347
2015-04-07,Infrastructure Development Bank Ltd.,179,182,179,179,11
2015-04-08,Infrastructure Development Bank Ltd.,187,179,181,181,657
2015-04-16,Infrastructure Development Bank Ltd.,184,187,184,184,44
2015-04-15,Infrastructure Development Bank Ltd.,187,181,182,187,1994
2015-04-12,Infrastructure Development Bank Ltd.,185,183,181,181,96
2015-04-21,Infrastructure Development Bank Ltd.,182,183,179,182,1402
2015-04-19,Infrastructure Development Bank Ltd.,183,184,177,177,1507
2015-04-20,Infrastructure Development Bank Ltd.,186,177,180,183,3017
2015-06-03,Infrastructure Development Bank Ltd.,172,170,168,169,4247
2015-04-23,Infrastructure Development Bank Ltd.,182,179,174,179,6332
2015-04-22,Infrastructure Development Bank Ltd.,182,182,179,179,739
2015-05-27,Infrastructure Development Bank Ltd.,176,179,170,170,42
2015-06-01,Infrastructure Development Bank Ltd.,167,170,164,164,221
2015-06-02,Infrastructure Development Bank Ltd.,170,164,163,170,1748
2015-06-04,Infrastructure Development Bank Ltd.,172,169,170,170,2811
2015-06-09,Infrastructure Development Bank Ltd.,190,184,180,181,8496
2015-06-07,Infrastructure Development Bank Ltd.,173,170,164,170,5497
2015-06-08,Infrastructure Development Bank Ltd.,184,170,164,184,3930
2015-06-11,Infrastructure Development Bank Ltd.,181,184,175,175,4221
2015-06-10,Infrastructure Development Bank Ltd.,184,181,177,184,6710
2015-06-17,Infrastructure Development Bank Ltd.,173,171,169,172,3889
2015-06-15,Infrastructure Development Bank Ltd.,174,171,167,171,1006
2015-06-14,Infrastructure Development Bank Ltd.,172,175,171,171,1388
2015-06-16,Infrastructure Development Bank Ltd.,171,171,166,171,4544
2015-06-21,Infrastructure Development Bank Ltd.,176,176,167,174,2656
2015-06-18,Infrastructure Development Bank Ltd.,182,172,168,176,1680
2015-06-24,Infrastructure Development Bank Ltd.,172,171,172,172,34
2015-06-23,Infrastructure Development Bank Ltd.,172,172,167,171,1666
2015-06-22,Infrastructure Development Bank Ltd.,172,174,172,172,557
2015-06-28,Infrastructure Development Bank Ltd.,174,175,172,174,1786
2015-06-25,Infrastructure Development Bank Ltd.,178,172,170,175,6537
2015-07-05,Infrastructure Development Bank Ltd.,175,173,172,172,2425
2015-06-30,Infrastructure Development Bank Ltd.,174,173,170,171,66
2015-07-01,Infrastructure Development Bank Ltd.,177,171,173,173,225
2015-06-29,Infrastructure Development Bank Ltd.,176,174,171,173,1819
2015-07-02,Infrastructure Development Bank Ltd.,176,173,165,173,370
2015-07-06,Infrastructure Development Bank Ltd.,170,172,169,170,715
2015-07-09,Infrastructure Development Bank Ltd.,173,171,170,171,1835
2015-07-07,Infrastructure Development Bank Ltd.,171,170,168,170,4932
2015-07-08,Infrastructure Development Bank Ltd.,172,170,170,171,2115
2015-07-12,Infrastructure Development Bank Ltd.,173,171,170,172,4527
2015-07-22,Infrastructure Development Bank Ltd.,182,178,178,182,678
2015-07-13,Infrastructure Development Bank Ltd.,175,172,169,175,1769
2015-07-15,Infrastructure Development Bank Ltd.,180,173,171,180,1264
2015-07-14,Infrastructure Development Bank Ltd.,175,175,173,173,174
2015-07-16,Infrastructure Development Bank Ltd.,178,180,177,178,69
2015-07-26,Infrastructure Development Bank Ltd.,202,187,190,202,3021
2015-07-27,Infrastructure Development Bank Ltd.,210,202,189,190,17241
2015-07-23,Infrastructure Development Bank Ltd.,187,182,178,187,3696
2015-07-30,Infrastructure Development Bank Ltd.,190,186,183,186,18323
2015-07-28,Infrastructure Development Bank Ltd.,193,190,185,186,9193
2015-07-29,Infrastructure Development Bank Ltd.,186,186,177,186,4173
2015-08-02,Infrastructure Development Bank Ltd.,184,186,178,183,9380
2015-08-04,Infrastructure Development Bank Ltd.,209,196,193,209,99918
2015-08-03,Infrastructure Development Bank Ltd.,196,183,177,196,30661
2015-08-09,Infrastructure Development Bank Ltd.,194,190,179,181,6916
2015-08-05,Infrastructure Development Bank Ltd.,205,209,189,192,9974
2015-08-06,Infrastructure Development Bank Ltd.,193,192,188,190,3175
2015-08-10,Infrastructure Development Bank Ltd.,190,181,180,184,6144
2015-08-11,Infrastructure Development Bank Ltd.,188,184,179,183,7886
2015-08-17,Infrastructure Development Bank Ltd.,183,180,173,183,3204
2015-08-12,Infrastructure Development Bank Ltd.,187,183,174,176,9636
2015-08-13,Infrastructure Development Bank Ltd.,185,176,175,182,6931
2015-08-16,Infrastructure Development Bank Ltd.,180,182,173,180,9841
2015-08-18,Infrastructure Development Bank Ltd.,185,183,180,182,8460
2015-08-27,Infrastructure Development Bank Ltd.,217,221,200,202,12085
2015-08-23,Infrastructure Development Bank Ltd.,194,190,172,194,32768
2015-08-25,Infrastructure Development Bank Ltd.,221,213,213,217,266
2015-08-19,Infrastructure Development Bank Ltd.,185,182,175,181,13322
2015-08-20,Infrastructure Development Bank Ltd.,194,181,178,190,30673
2015-08-24,Infrastructure Development Bank Ltd.,213,194,197,213,15163
2015-08-26,Infrastructure Development Bank Ltd.,237,217,221,221,220
2015-09-02,Infrastructure Development Bank Ltd.,204,208,198,198,2941
2015-08-31,Infrastructure Development Bank Ltd.,214,202,206,210,3750
2015-09-01,Infrastructure Development Bank Ltd.,210,210,206,208,1275
2015-09-06,Infrastructure Development Bank Ltd.,200,201,200,200,1378
2015-09-03,Infrastructure Development Bank Ltd.,201,198,195,201,1078
2015-09-10,Infrastructure Development Bank Ltd.,198,198,197,198,2060
2015-09-07,Infrastructure Development Bank Ltd.,197,200,196,197,1136
2015-09-08,Infrastructure Development Bank Ltd.,200,197,200,200,100
2015-09-09,Infrastructure Development Bank Ltd.,199,200,197,198,2514
2015-09-13,Infrastructure Development Bank Ltd.,202,198,199,199,14400
2015-09-22,Infrastructure Development Bank Ltd.,229,229,216,216,4363
2015-09-15,Infrastructure Development Bank Ltd.,220,200,204,220,42208
2015-09-17,Infrastructure Development Bank Ltd.,233,225,220,229,12889
2015-09-23,Infrastructure Development Bank Ltd.,230,216,220,224,16049
2015-09-14,Infrastructure Development Bank Ltd.,205,199,200,200,61560
2015-09-16,Infrastructure Development Bank Ltd.,238,220,224,225,40273
2015-09-29,Infrastructure Development Bank Ltd.,222,224,218,222,4410
2015-09-24,Infrastructure Development Bank Ltd.,230,224,217,227,17006
